Date,Versus,Ground,How Dismissed,Runs,S/R
24/12/2009,Sri Lanka,Eden Gardens,did not bat,-,-
27/12/2009,Sri Lanka,Feroz Shah Kotla,did not bat,-,-
05/01/2010,Sri Lanka,Shere Bangla National Stadium,b U W M B C A Welegedara,35,76.09
07/01/2010,Bangladesh,Shere Bangla National Stadium,not out,51*,118.60
10/01/2010,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-
11/01/2010,Bangladesh,Shere Bangla National Stadium,not out,18*,100.00
13/01/2010,Sri Lanka,Shere Bangla National Stadium,b U W M B C A Welegedara,106,92.17
21/02/2010,South Africa,Sawai Mansingh Stadium,c †M V Boucher b J H Kallis,58,92.06
24/02/2010,South Africa,Captain Roop Singh Stadium,did not bat,-,-
27/02/2010,South Africa,Sardar Patel Stadium,c sub b J Botha,49,163.33
28/05/2010,Zimbabwe,Queens Sports Club,c †B R M Taylor b C B Mpofu,37,69.81
30/05/2010,Sri Lanka,Queens Sports Club,not out,24*,104.35
03/06/2010,Zimbabwe,Harare Sports Club,run out,3,60.00
05/06/2010,Sri Lanka,Harare Sports Club,c C K Kapugedera b T M Dilshan,19,105.56
16/06/2010,Bangladesh,Rangiri Dambulla International Stadium,not out,1*,100.00
19/06/2010,Pakistan,Rangiri Dambulla International Stadium,run out,34,125.93
22/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,lbw b H M R K B Herath,18,78.26
24/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,lbw b S L Malinga,29,93.55
